datetime,open,high,low,close,volume
2026-02-14 21:00:00+00:00,9.5975,9.6401,9.5964,9.6342,3908.16
2026-02-14 21:15:00+00:00,9.6364,9.6535,9.6155,9.619,1459.83
2026-02-14 21:30:00+00:00,9.6237,9.6237,9.5624,9.6064,1974.07
2026-02-14 21:45:00+00:00,9.607,9.6493,9.6019,9.6493,558.1
2026-02-14 22:00:00+00:00,9.6385,9.7178,9.6385,9.7145,10538.07
2026-02-14 22:15:00+00:00,9.7145,9.7182,9.6652,9.6679,3838.83
2026-02-14 22:30:00+00:00,9.6713,9.6924,9.666,9.6719,362.09
2026-02-14 22:45:00+00:00,9.674,9.6901,9.6428,9.6428,4728.05
2026-02-14 23:00:00+00:00,9.641,9.6414,9.6063,9.6159,1365.96
2026-02-14 23:15:00+00:00,9.615,9.6408,9.5808,9.5902,835.91
2026-02-14 23:30:00+00:00,9.5877,9.603,9.5737,9.585,1898.19
2026-02-14 23:45:00+00:00,9.5844,9.597,9.5825,9.596,88.7
2026-02-15 00:00:00+00:00,9.5951,9.6258,9.5697,9.5718,7097.73
2026-02-15 00:15:00+00:00,9.5773,9.6006,9.5684,9.5739,5666.25
2026-02-15 00:30:00+00:00,9.5675,9.5807,9.5494,9.5536,3123.87
2026-02-15 00:45:00+00:00,9.5526,9.5806,9.5364,9.5781,2475.35
2026-02-15 01:00:00+00:00,9.576,9.6385,9.576,9.6086,2138.72
2026-02-15 01:15:00+00:00,9.6067,9.6083,9.5197,9.5333,9030.84
2026-02-15 01:30:00+00:00,9.5394,9.5652,9.5242,9.536,2170.88
2026-02-15 01:45:00+00:00,9.5395,9.5753,9.534,9.5753,1266.08
2026-02-15 02:00:00+00:00,9.57,9.6263,9.5448,9.553,2948.13
2026-02-15 02:15:00+00:00,9.553,9.5651,9.5272,9.5464,2528.71
2026-02-15 02:30:00+00:00,9.5397,9.5641,9.4971,9.5411,3397.82
2026-02-15 02:45:00+00:00,9.5424,9.572,9.5346,9.5554,2415.07
2026-02-15 03:00:00+00:00,9.5534,9.594,9.5514,9.5637,1876.68
2026-02-15 03:15:00+00:00,9.561,9.5879,9.5574,9.5574,1297.4
2026-02-15 03:30:00+00:00,9.5493,9.556,9.4779,9.4994,7405.56
2026-02-15 03:45:00+00:00,9.5082,9.598,9.5082,9.5955,2563.63
