datetime,open,high,low,close,volume
2026-02-14 13:00:00+00:00,86.366,86.826,86.249,86.702,34054.4
2026-02-14 13:15:00+00:00,86.702,86.702,86.0,86.009,29537.03
2026-02-14 13:30:00+00:00,86.004,86.351,85.973,86.347,19904.34
2026-02-14 13:45:00+00:00,86.333,86.613,86.237,86.38,6633.6
2026-02-14 14:00:00+00:00,86.384,86.759,86.315,86.725,10092.6
2026-02-14 14:15:00+00:00,86.74,86.961,86.507,86.734,20136.4
2026-02-14 14:30:00+00:00,86.727,87.1,86.721,86.95,8267.62
2026-02-14 14:45:00+00:00,86.944,87.436,86.899,87.192,15467.5
2026-02-14 15:00:00+00:00,87.191,87.425,87.047,87.17,21637.02
2026-02-14 15:15:00+00:00,87.174,87.613,87.106,87.373,34592.82
2026-02-14 15:30:00+00:00,87.371,87.473,87.1,87.304,18167.71
2026-02-14 15:45:00+00:00,87.305,87.47,87.218,87.377,14453.29
2026-02-14 16:00:00+00:00,87.376,87.45,87.224,87.36,8591.23
2026-02-14 16:15:00+00:00,87.364,87.45,86.956,87.309,19649.29
2026-02-14 16:30:00+00:00,87.299,87.926,87.073,87.867,50233.76
2026-02-14 16:45:00+00:00,87.862,88.163,87.748,88.052,51592.94
2026-02-14 17:00:00+00:00,88.061,88.112,87.775,87.999,24331.43
2026-02-14 17:15:00+00:00,87.999,88.362,87.915,88.214,19726.11
2026-02-14 17:30:00+00:00,88.213,88.319,87.797,88.0,42228.07
2026-02-14 17:45:00+00:00,87.996,88.061,87.8,87.979,26755.69
2026-02-14 18:00:00+00:00,87.978,88.096,87.882,87.944,52622.61
2026-02-14 18:15:00+00:00,87.934,88.065,87.729,87.868,15712.52
2026-02-14 18:30:00+00:00,87.862,88.139,87.794,88.044,20022.99
2026-02-14 18:45:00+00:00,88.033,88.168,87.912,87.942,19587.92
2026-02-14 19:00:00+00:00,87.942,87.969,87.68,87.794,23205.21
2026-02-14 19:15:00+00:00,87.794,87.985,87.492,87.892,17813.88
2026-02-14 19:30:00+00:00,87.894,88.088,87.888,88.023,11473.55
2026-02-14 19:45:00+00:00,88.017,88.234,87.963,88.105,27085.38
2026-02-14 20:00:00+00:00,88.125,88.329,87.774,87.812,62336.22
2026-02-14 20:15:00+00:00,87.826,87.986,87.625,87.78,23712.88
2026-02-14 20:30:00+00:00,87.776,87.93,87.614,87.88,11920.14
2026-02-14 20:45:00+00:00,87.887,88.1,87.852,88.081,16201.81
2026-02-14 21:00:00+00:00,88.081,88.346,88.056,88.15,34722.68
2026-02-14 21:15:00+00:00,88.147,88.239,87.705,87.711,33953.21
2026-02-14 21:30:00+00:00,87.733,87.766,87.251,87.605,28878.95
2026-02-14 21:45:00+00:00,87.62,87.998,87.62,87.998,20949.15
2026-02-14 22:00:00+00:00,87.99,88.22,87.92,88.2,18149.64
2026-02-14 22:15:00+00:00,88.2,88.212,87.827,88.011,7193.93
2026-02-14 22:30:00+00:00,88.011,88.728,88.011,88.506,188354.71
2026-02-14 22:45:00+00:00,88.513,88.691,88.404,88.429,29124.75
2026-02-14 23:00:00+00:00,88.419,88.746,88.318,88.71,14606.5
2026-02-14 23:15:00+00:00,88.71,88.794,88.152,88.327,29086.78
2026-02-14 23:30:00+00:00,88.34,88.5,88.012,88.176,14635.65
2026-02-14 23:45:00+00:00,88.194,88.247,87.976,87.98,8160.06
2026-02-15 00:00:00+00:00,87.988,88.138,87.748,87.848,38446.24
2026-02-15 00:15:00+00:00,87.849,88.355,87.849,88.048,30067.1
2026-02-15 00:30:00+00:00,88.048,88.12,87.767,87.809,23345.42
2026-02-15 00:45:00+00:00,87.792,88.253,87.751,88.12,9251.15
2026-02-15 01:00:00+00:00,88.121,88.649,88.065,88.364,32729.44
2026-02-15 01:15:00+00:00,88.364,88.432,87.608,87.732,38828.65
2026-02-15 01:30:00+00:00,87.732,87.907,87.541,87.653,24058.85
2026-02-15 01:45:00+00:00,87.662,88.257,87.54,88.224,52944.37
